
TIME STEP:
160 = 0.2ms

VOLTAGE STEP:
CH1:  32 = 0.1V
CH2:  32 = 0.1V

N	CH1	CH2
1738	102	135
1739	101	134
1740	101	134
1741	100	135
1742	100	135
1743	99	134
1744	99	135
1745	98	134
1746	97	134
1747	97	135
1748	96	135
1749	95	135
1750	94	134
1751	93	135
1752	92	134
1753	91	135
1754	90	135
1755	90	135
1756	88	135
1757	87	135
1758	86	135
1759	86	135
1760	85	135
1761	84	135
1762	83	135
1763	82	134
1764	82	135
1765	81	134
1766	80	135
1767	80	135
1768	79	135
1769	79	135
1770	78	135
1771	77	135
1772	77	134
1773	77	135
1774	76	134
1775	75	134
1776	75	135
1777	74	135
1778	74	135
1779	73	134
1780	72	135
1781	72	135
1782	69	134
1783	70	135
1784	69	135
1785	69	135
1786	68	135
1787	67	135
1788	66	135
1789	65	135
1790	64	135
1791	63	135
1792	63	135
1793	62	135
1794	61	135
1795	60	135
1796	60	135
1797	59	135
1798	58	135
1799	58	135
1800	57	135
1801	56	135
1802	56	135
1803	56	135
1804	55	135
1805	55	135
1806	55	135
1807	55	135
1808	55	135
1809	55	135
1810	55	135
1811	55	135
1812	55	135
1813	55	135
1814	55	135
1815	55	135
1816	55	135
1817	55	135
1818	55	135
1819	55	135
1820	55	135
1821	55	135
1822	55	135
1823	55	135
1824	56	135
1825	55	135
1826	55	135
1827	56	135
1828	56	135
1829	56	135
1830	56	135
1831	57	135
1832	57	135
1833	57	135
1834	57	135
1835	57	135
1836	58	135
1837	58	135
1838	58	135
1839	59	135
1840	59	135
1841	60	135
1842	60	135
1843	61	135
1844	61	135
1845	61	135
1846	62	135
1847	62	135
1848	62	135
1849	62	135
1850	63	135
1851	63	135
1852	63	135
1853	63	135
1854	63	135
1855	63	135
1856	61	135
1857	63	135
1858	63	135
1859	63	135
1860	62	135
1861	62	135
1862	62	135
1863	62	135
1864	62	135
1865	62	135
1866	62	135
1867	61	135
1868	61	135
1869	61	135
1870	61	135
1871	61	135
1872	61	135
1873	60	135
1874	60	135
1875	60	135
1876	60	135
1877	60	135
1878	60	135
1879	60	135
1880	60	135
1881	60	135
1882	60	135
1883	60	135
1884	60	135
1885	60	135
1886	60	135
1887	60	135
1888	60	135
1889	60	135
1890	60	135
1891	60	135
1892	60	135
1893	60	135
1894	60	135
1895	60	135
1896	60	135
1897	60	136
1898	60	135
1899	60	135
1900	60	136
1901	60	135
1902	60	135
1903	60	135
1904	59	136
1905	60	135
1906	59	135
1907	59	136
1908	59	135
1909	59	135
1910	59	135
1911	58	135
1912	58	135
1913	58	136
1914	57	135
1915	57	135
1916	57	135
1917	56	136
1918	56	136
1919	55	136
1920	55	136
1921	55	135
1922	54	135
1923	54	135
1924	53	135
1925	53	136
1926	53	136
1927	53	136
1928	53	136
1929	52	136
1930	50	135
1931	52	135
1932	52	136
1933	52	135
1934	52	136
1935	52	136
1936	52	136
1937	53	136
1938	53	136
1939	53	136
1940	54	136
1941	54	136
1942	54	136
1943	54	136
1944	55	136
1945	55	136
1946	56	136
1947	56	136
1948	57	136
1949	57	136
1950	57	136
1951	58	136
1952	59	136
1953	59	136
1954	59	136
1955	60	136
1956	60	136
1957	61	136
1958	62	136
1959	62	136
1960	62	136
1961	63	136
1962	63	136
1963	64	136
1964	64	136
1965	65	136
1966	65	136
1967	66	136
1968	67	136
1969	67	136
1970	67	136
1971	68	136
1972	69	136
1973	70	136
1974	70	136
1975	71	136
1976	71	136
1977	72	136
1978	73	136
1979	73	136
1980	74	136
1981	74	136
1982	75	136
1983	75	136
1984	76	136
1985	76	136
1986	76	136
1987	76	136
1988	77	136
1989	77	136
1990	77	136
1991	77	136
1992	77	136
1993	77	136
1994	77	136
1995	77	136
1996	77	136
1997	76	136
1998	77	136
1999	77	136
2000	76	136
2001	76	136
2002	76	136
2003	76	136
2004	74	135
2005	76	136
2006	76	136
2007	76	136
2008	76	136
2009	76	136
2010	76	136
2011	76	136
2012	76	136
2013	76	136
2014	76	136
2015	76	136
2016	75	136
2017	76	136
2018	75	136
2019	75	136
2020	75	136
2021	75	136
2022	74	136
2023	74	136
2024	74	136
2025	73	136
2026	73	136
2027	72	136
2028	72	136
2029	71	136
2030	70	136
2031	69	136
2032	68	136
2033	67	136
2034	67	136
2035	66	136
2036	65	136
2037	64	136
2038	63	136
2039	62	136
2040	61	136
2041	60	136
2042	59	136
2043	58	136
2044	57	136
2045	57	137
2046	56	136
2047	55	136
2048	54	136
2049	53	136
2050	53	136
2051	52	136
2052	51	136
2053	50	136
2054	50	136
2055	50	136
2056	49	136
2057	48	136
2058	48	136
2059	48	136
2060	47	136
2061	47	136
2062	47	136
2063	46	136
2064	46	136
2065	46	136
2066	46	136
2067	46	136
2068	46	136
2069	46	136
2070	46	136
2071	46	136
2072	46	136
2073	46	136
2074	47	136
2075	47	136
2076	47	136
2077	47	136
2078	46	136
2079	48	136
2080	49	136
2081	49	136
2082	50	136
2083	51	136
2084	51	136
2085	52	136
2086	53	136
2087	54	136
2088	55	136
2089	56	136
2090	57	136
2091	58	136
2092	59	136
2093	59	136
2094	60	136
2095	62	136
2096	62	136
2097	64	136
2098	65	136
2099	66	136
2100	67	136
2101	68	136
2102	69	136
