
TIME STEP:
160 = 0.2ms

VOLTAGE STEP:
CH1:  32 = 0.1V
CH2:  32 = 0.1V

N	CH1	CH2
1691	97	135
1692	99	135
1693	102	135
1694	103	135
1695	105	135
1696	106	135
1697	108	135
1698	109	135
1699	111	135
1700	113	135
1701	114	135
1702	115	135
1703	116	135
1704	117	135
1705	119	135
1706	120	135
1707	121	135
1708	122	135
1709	122	135
1710	123	135
1711	124	135
1712	125	135
1713	125	135
1714	126	135
1715	126	135
1716	127	135
1717	127	135
1718	128	135
1719	128	135
1720	128	135
1721	128	135
1722	128	135
1723	128	135
1724	128	135
1725	128	135
1726	128	135
1727	128	135
1728	128	135
1729	127	135
1730	127	135
1731	127	136
1732	126	135
1733	126	135
1734	125	135
1735	124	135
1736	124	135
1737	123	135
1738	122	135
1739	121	135
1740	121	135
1741	120	135
1742	119	135
1743	118	135
1744	117	135
1745	115	135
1746	116	136
1747	115	136
1748	114	135
1749	113	136
1750	112	135
1751	111	135
1752	111	135
1753	110	135
1754	109	135
1755	108	135
1756	107	135
1757	106	135
1758	106	135
1759	105	135
1760	104	135
1761	103	135
1762	103	135
1763	102	135
1764	101	135
1765	100	135
1766	99	135
1767	99	135
1768	98	135
1769	97	135
1770	97	135
1771	96	135
1772	95	135
1773	95	135
1774	94	135
1775	94	135
1776	94	136
1777	93	135
1778	92	135
1779	92	135
1780	91	135
1781	91	135
1782	90	135
1783	90	135
1784	89	135
1785	89	135
1786	88	135
1787	88	135
1788	87	135
1789	86	135
1790	86	135
1791	85	135
1792	85	135
1793	84	135
1794	83	135
1795	82	135
1796	82	135
1797	81	135
1798	81	135
1799	80	135
1800	79	135
1801	79	135
1802	78	135
1803	78	135
1804	77	135
1805	77	135
1806	76	135
1807	76	135
1808	75	135
1809	75	135
1810	74	135
1811	74	135
1812	74	135
1813	74	135
1814	73	135
1815	73	135
1816	73	135
1817	73	135
1818	73	135
1819	71	135
1820	72	135
1821	72	135
1822	71	135
1823	71	135
1824	71	135
1825	71	135
1826	70	135
1827	70	135
1828	70	135
1829	70	135
1830	69	135
1831	69	135
1832	69	135
1833	69	135
1834	68	135
1835	68	135
1836	68	135
1837	68	136
1838	68	135
1839	68	135
1840	68	135
1841	68	135
1842	68	135
1843	69	135
1844	69	135
1845	70	136
1846	70	135
1847	71	135
1848	71	135
1849	72	135
1850	72	135
1851	73	135
1852	73	135
1853	74	135
1854	75	136
1855	76	135
1856	76	135
1857	77	135
1858	77	135
1859	78	136
1860	79	136
1861	79	135
1862	80	135
1863	81	135
1864	81	136
1865	82	135
1866	82	136
1867	82	135
1868	82	135
1869	83	135
1870	83	135
1871	84	135
1872	84	135
1873	85	136
1874	85	135
1875	85	135
1876	86	135
1877	86	135
1878	87	135
1879	87	135
1880	88	135
1881	88	135
1882	89	136
1883	90	135
1884	90	135
1885	90	135
1886	91	135
1887	92	136
1888	92	136
1889	92	135
1890	93	135
1891	93	136
1892	94	135
1893	93	135
1894	94	135
1895	94	136
1896	94	135
1897	94	135
1898	94	136
1899	94	135
1900	94	135
1901	94	136
1902	93	135
1903	93	136
1904	93	136
1905	92	135
1906	92	136
1907	91	136
1908	91	135
1909	90	135
1910	90	136
1911	89	136
1912	88	135
1913	88	135
1914	87	136
1915	87	135
1916	87	136
1917	86	135
1918	86	135
1919	85	136
1920	85	136
1921	85	135
1922	85	135
1923	84	135
1924	84	136
1925	84	135
1926	84	135
1927	84	135
1928	83	135
1929	83	136
1930	83	135
1931	83	136
1932	83	136
1933	83	135
1934	83	136
1935	82	136
1936	82	136
1937	82	135
1938	82	135
1939	82	136
1940	81	135
1941	81	136
1942	81	136
1943	80	136
1944	80	135
1945	80	136
1946	79	135
1947	79	136
1948	78	136
1949	78	136
1950	78	135
1951	77	135
1952	77	136
1953	77	135
1954	77	136
1955	76	135
1956	76	135
1957	76	135
1958	75	135
1959	75	136
1960	75	136
1961	75	136
1962	75	135
1963	75	136
1964	75	136
1965	75	136
1966	75	136
1967	74	135
1968	76	135
1969	76	136
1970	76	136
1971	76	136
1972	76	135
1973	76	135
1974	77	135
1975	77	136
1976	77	135
1977	77	136
1978	77	136
1979	76	136
1980	76	135
1981	76	135
1982	76	135
1983	76	136
1984	75	135
1985	75	135
1986	75	135
1987	74	136
1988	74	136
1989	74	135
1990	74	136
1991	73	136
1992	73	136
1993	73	136
1994	73	136
1995	73	136
1996	73	135
1997	73	136
1998	73	136
1999	73	136
2000	73	135
2001	73	135
2002	73	135
2003	73	135
2004	74	135
2005	74	135
2006	75	136
2007	75	135
2008	76	136
2009	76	136
2010	77	136
2011	77	135
2012	77	136
2013	78	136
2014	78	136
2015	78	135
2016	79	135
2017	79	136
2018	79	135
2019	79	136
2020	79	135
2021	79	135
2022	80	136
2023	79	135
2024	79	136
2025	79	135
2026	79	136
2027	79	135
2028	78	135
2029	78	136
2030	78	135
2031	77	135
2032	77	136
2033	77	136
2034	77	135
2035	77	136
2036	77	135
2037	77	136
2038	77	136
2039	77	135
2040	77	136
2041	77	135
2042	78	135
2043	78	135
2044	78	135
2045	79	136
2046	79	135
2047	80	136
2048	80	136
2049	80	136
2050	81	135
2051	81	136
2052	81	136
2053	82	136
2054	82	136
2055	82	136
2056	82	136
2057	82	136
2058	82	136
2059	81	136
2060	81	135
2061	81	136
2062	80	136
2063	80	136
2064	79	136
2065	78	135
2066	78	136
2067	77	136
2068	77	135
2069	76	136
2070	75	136
2071	75	136
2072	74	136
2073	73	136
2074	73	135
2075	72	135
2076	72	135
2077	72	135
2078	71	135
2079	71	135
2080	71	136
2081	71	135
2082	71	135
2083	71	136
2084	71	136
2085	71	135
2086	71	135
2087	72	135
2088	71	135
2089	71	135
2090	72	135
2091	72	135
2092	72	135
2093	72	135
2094	72	135
2095	72	136
2096	71	136
2097	71	136
2098	71	136
2099	71	136
2100	70	135
2101	70	136
2102	69	135
